#word1	word2	SimLex999
employer_NN	employee_NN	3.65
hand_NN	wrist_NN	3.97
ball_NN	cannon_NN	2.58
alcohol_NN	brandy_NN	6.98
victory_NN	triumph_NN	8.98
telephone_NN	booth_NN	3.63
door_NN	doorway_NN	5.4
motel_NN	inn_NN	8.17
clothes_NN	cloth_NN	5.47
steak_NN	meat_NN	7.47
nail_NN	thumb_NN	3.55
band_NN	orchestra_NN	7.08
book_NN	bible_NN	5.0
business_NN	industry_NN	7.02
winter_NN	season_NN	6.27
decade_NN	century_NN	3.48
alcohol_NN	gin_NN	8.65
hat_NN	coat_NN	2.67
window_NN	door_NN	3.33
arm_NN	wrist_NN	3.57
house_NN	apartment_NN	5.8
glass_NN	crystal_NN	6.27
wine_NN	brandy_NN	5.15
creator_NN	maker_NN	9.62
dinner_NN	breakfast_NN	3.33
arm_NN	muscle_NN	3.72
bubble_NN	suds_NN	8.57
bread_NN	flour_NN	3.33
death_NN	tragedy_NN	5.8
absence_NN	presence_NN	0.4
gun_NN	cannon_NN	5.68
grass_NN	blade_NN	4.57
ball_NN	basket_NN	1.67
hose_NN	garden_NN	1.67
boy_NN	kid_NN	7.5
church_NN	choir_NN	2.95
clothes_NN	drawer_NN	3.02
tower_NN	bell_NN	1.9
father_NN	parent_NN	7.07
school_NN	grade_NN	4.42
parent_NN	adult_NN	5.37
bar_NN	jail_NN	1.9
car_NN	highway_NN	3.4
dictionary_NN	definition_NN	6.25
door_NN	cellar_NN	1.97
army_NN	legion_NN	5.95
metal_NN	aluminum_NN	7.25
chair_NN	bench_NN	6.67
cloud_NN	fog_NN	6.0
boy_NN	son_NN	6.75
water_NN	ice_NN	6.47
bed_NN	blanket_NN	3.02
attorney_NN	lawyer_NN	9.35
area_NN	zone_NN	8.33
business_NN	company_NN	9.02
clothes_NN	fabric_NN	5.87
sweater_NN	jacket_NN	7.15
money_NN	capital_NN	6.67
hand_NN	foot_NN	4.17
alcohol_NN	cocktail_NN	6.73
yard_NN	inch_NN	3.78
molecule_NN	atom_NN	6.45
lens_NN	camera_NN	4.28
meal_NN	dinner_NN	7.15
eye_NN	tear_NN	3.55
god_NN	devil_NN	1.8
loop_NN	belt_NN	3.1
rat_NN	mouse_NN	7.78
motor_NN	engine_NN	8.65
car_NN	cab_NN	7.42
cat_NN	lion_NN	6.75
size_NN	magnitude_NN	6.33
reality_NN	fantasy_NN	1.03
door_NN	gate_NN	5.25
cat_NN	pet_NN	5.95
tin_NN	aluminum_NN	6.42
bone_NN	jaw_NN	4.17
cereal_NN	wheat_NN	3.75
house_NN	key_NN	1.9
blood_NN	flesh_NN	4.28
door_NN	corridor_NN	3.73
god_NN	spirit_NN	7.3
capability_NN	competence_NN	7.62
abundance_NN	plenty_NN	8.97
sofa_NN	chair_NN	6.67
wall_NN	brick_NN	4.68
horn_NN	drum_NN	2.68
organ_NN	liver_NN	6.15
strength_NN	might_NN	7.07
phrase_NN	word_NN	5.48
band_NN	parade_NN	3.92
stomach_NN	waist_NN	5.9
cloud_NN	storm_NN	5.6
joy_NN	pride_NN	5.0
noise_NN	rattle_NN	6.17
rain_NN	mist_NN	5.97
beer_NN	beverage_NN	5.42
man_NN	uncle_NN	3.92
apple_NN	juice_NN	2.88
intelligence_NN	logic_NN	6.5
communication_NN	language_NN	7.47
mink_NN	fur_NN	6.83
mob_NN	crowd_NN	7.85
shore_NN	coast_NN	8.83
wire_NN	cord_NN	7.62
bird_NN	turkey_NN	6.58
bed_NN	crib_NN	7.3
competence_NN	ability_NN	7.5
cloud_NN	haze_NN	7.32
supper_NN	meal_NN	7.53
bar_NN	cage_NN	2.8
water_NN	salt_NN	1.3
sense_NN	intuition_NN	7.68
situation_NN	condition_NN	6.58
crime_NN	theft_NN	7.53
style_NN	fashion_NN	8.5
boundary_NN	border_NN	9.08
arm_NN	body_NN	4.05
boat_NN	car_NN	2.37
sandwich_NN	lunch_NN	6.3
bride_NN	princess_NN	2.8
heroine_NN	hero_NN	8.78
car_NN	gauge_NN	1.13
insect_NN	bee_NN	6.07
crib_NN	cradle_NN	8.55
animal_NN	person_NN	3.05
marijuana_NN	herb_NN	6.5
bed_NN	hospital_NN	0.92
cheek_NN	tongue_NN	4.52
disc_NN	computer_NN	3.2
curve_NN	angle_NN	3.33
grass_NN	moss_NN	5.0
school_NN	law_NN	1.13
foot_NN	head_NN	2.3
mother_NN	guardian_NN	6.5
orthodontist_NN	dentist_NN	8.27
alcohol_NN	whiskey_NN	7.27
mouth_NN	tooth_NN	6.3
breakfast_NN	bacon_NN	4.37
bathroom_NN	bedroom_NN	3.4
plate_NN	bowl_NN	5.23
meat_NN	bacon_NN	5.8
air_NN	helium_NN	3.63
worker_NN	employer_NN	5.37
body_NN	chest_NN	4.45
son_NN	father_NN	3.82
heart_NN	surgery_NN	1.08
woman_NN	secretary_NN	1.98
man_NN	father_NN	4.83
beach_NN	island_NN	5.6
story_NN	topic_NN	5.0
game_NN	fun_NN	3.42
weekend_NN	week_NN	4.0
couple_NN	pair_NN	8.33
woman_NN	wife_NN	5.72
sheep_NN	cattle_NN	4.77
purse_NN	bag_NN	8.33
ceiling_NN	cathedral_NN	2.42
bean_NN	coffee_NN	5.15
wood_NN	paper_NN	2.88
top_NN	side_NN	1.9
crime_NN	fraud_NN	5.65
pain_NN	harm_NN	5.38
lover_NN	companion_NN	5.97
evening_NN	dusk_NN	7.78
father_NN	daughter_NN	2.62
wine_NN	liquor_NN	7.85
cow_NN	goat_NN	2.93
belief_NN	opinion_NN	7.7
reality_NN	illusion_NN	1.42
pact_NN	agreement_NN	9.02
wealth_NN	poverty_NN	1.27
accident_NN	emergency_NN	4.93
battle_NN	conquest_NN	7.22
friend_NN	teacher_NN	2.62
illness_NN	infection_NN	6.9
game_NN	trick_NN	2.32
brother_NN	son_NN	3.48
aunt_NN	nephew_NN	3.1
worker_NN	mechanic_NN	4.92
doctor_NN	orthodontist_NN	5.58
oak_NN	maple_NN	6.03
bee_NN	queen_NN	3.27
car_NN	bicycle_NN	3.47
goal_NN	quest_NN	5.83
august_NN	month_NN	5.53
army_NN	squad_NN	5.08
cloud_NN	weather_NN	4.87
physician_NN	doctor_NN	8.88
canyon_NN	valley_NN	6.75
river_NN	valley_NN	1.67
sun_NN	sky_NN	2.27
target_NN	arrow_NN	3.25
chocolate_NN	pie_NN	2.27
circumstance_NN	situation_NN	7.85
opinion_NN	choice_NN	5.43
rhythm_NN	melody_NN	6.12
gut_NN	nerve_NN	4.93
day_NN	dawn_NN	5.47
cattle_NN	beef_NN	7.03
doctor_NN	professor_NN	4.65
arm_NN	vein_NN	3.65
room_NN	bath_NN	3.33
corporation_NN	business_NN	9.02
fun_NN	football_NN	1.97
hill_NN	cliff_NN	4.28
bone_NN	ankle_NN	3.82
apple_NN	candy_NN	2.08
helper_NN	maid_NN	5.58
leader_NN	manager_NN	7.27
lemon_NN	tea_NN	1.6
bee_NN	ant_NN	2.78
basketball_NN	baseball_NN	4.92
rice_NN	bean_NN	2.72
bed_NN	furniture_NN	6.08
emotion_NN	passion_NN	7.72
anarchy_NN	chaos_NN	7.93
crime_NN	violation_NN	7.12
machine_NN	engine_NN	5.58
beach_NN	sea_NN	4.68
alley_NN	bowl_NN	1.53
jar_NN	bottle_NN	7.83
strength_NN	capability_NN	5.28
seed_NN	mustard_NN	3.48
guitar_NN	drum_NN	3.78
opinion_NN	idea_NN	5.7
north_NN	west_NN	3.63
diet_NN	salad_NN	2.98
mother_NN	wife_NN	3.02
dad_NN	mother_NN	3.55
captain_NN	sailor_NN	5.0
meter_NN	yard_NN	5.6
beer_NN	champagne_NN	4.45
motor_NN	boat_NN	2.57
card_NN	bridge_NN	1.97
science_NN	psychology_NN	4.92
sinner_NN	saint_NN	1.6
destruction_NN	construction_NN	0.98
crowd_NN	bunch_NN	7.42
beach_NN	reef_NN	3.77
man_NN	child_NN	4.13
bread_NN	cheese_NN	1.95
champion_NN	winner_NN	8.73
celebration_NN	ceremony_NN	7.72
menu_NN	order_NN	3.62
king_NN	princess_NN	3.27
wealth_NN	prestige_NN	6.07
endurance_NN	strength_NN	6.58
danger_NN	threat_NN	8.78
god_NN	priest_NN	4.5
men_NN	fraternity_NN	3.13
buddy_NN	companion_NN	8.65
teacher_NN	helper_NN	4.28
body_NN	stomach_NN	3.93
tongue_NN	throat_NN	3.1
house_NN	carpet_NN	1.38
intelligence_NN	skill_NN	5.35
journey_NN	conquest_NN	4.72
god_NN	prey_NN	1.23
brother_NN	soul_NN	0.97
adversary_NN	opponent_NN	9.05
death_NN	catastrophe_NN	4.13
monster_NN	demon_NN	6.95
day_NN	morning_NN	4.87
man_NN	victor_NN	1.9
friend_NN	guy_NN	3.88
song_NN	story_NN	3.97
ray_NN	sunshine_NN	6.83
guy_NN	stud_NN	5.83
chicken_NN	rice_NN	1.43
box_NN	elevator_NN	1.32
butter_NN	potato_NN	1.22
apartment_NN	furniture_NN	1.28
lake_NN	swamp_NN	4.92
salad_NN	vinegar_NN	1.13
flower_NN	bulb_NN	4.48
cloud_NN	mist_NN	6.67
driver_NN	pilot_NN	6.28
sugar_NN	honey_NN	5.13
body_NN	shoulder_NN	2.88
idea_NN	image_NN	3.55
father_NN	brother_NN	4.2
moon_NN	planet_NN	5.87
ball_NN	costume_NN	2.32
rail_NN	fence_NN	5.22
room_NN	bed_NN	2.35
flower_NN	bush_NN	4.25
bone_NN	knee_NN	4.17
arm_NN	knee_NN	2.75
bottom_NN	side_NN	2.63
vessel_NN	vein_NN	5.15
cat_NN	rabbit_NN	2.37
meat_NN	sandwich_NN	2.35
belief_NN	concept_NN	5.08
intelligence_NN	insight_NN	5.9
attention_NN	interest_NN	7.22
attitude_NN	confidence_NN	4.35
right_NN	justice_NN	7.05
argument_NN	agreement_NN	1.45
depth_NN	magnitude_NN	6.12
medium_NN	news_NN	3.65
winner_NN	candidate_NN	2.78
birthday_NN	date_NN	5.08
fee_NN	payment_NN	7.15
bible_NN	hymn_NN	5.15
exit_NN	doorway_NN	5.5
man_NN	sentry_NN	3.25
aisle_NN	hall_NN	6.35
whiskey_NN	gin_NN	6.28
blood_NN	marrow_NN	3.4
oil_NN	mink_NN	1.23
floor_NN	deck_NN	5.55
roof_NN	floor_NN	2.62
door_NN	floor_NN	1.67
shoulder_NN	head_NN	3.42
wagon_NN	carriage_NN	7.7
car_NN	carriage_NN	5.13
elbow_NN	ankle_NN	3.13
wealth_NN	fame_NN	4.02
sorrow_NN	shame_NN	4.77
administration_NN	management_NN	7.25
communication_NN	conversation_NN	8.02
pollution_NN	atmosphere_NN	4.25
anatomy_NN	biology_NN	5.33
college_NN	profession_NN	3.12
book_NN	topic_NN	2.07
formula_NN	equation_NN	7.95
book_NN	information_NN	5.0
boy_NN	partner_NN	1.9
sky_NN	universe_NN	4.68
population_NN	people_NN	7.68
college_NN	class_NN	4.13
chief_NN	mayor_NN	4.85
rabbi_NN	minister_NN	7.62
meter_NN	inch_NN	5.08
polyester_NN	cotton_NN	5.63
lawyer_NN	banker_NN	1.88
violin_NN	instrument_NN	6.58
camp_NN	cabin_NN	4.2
pot_NN	appliance_NN	2.53
linen_NN	fabric_NN	7.47
whiskey_NN	champagne_NN	5.33
girl_NN	child_NN	5.38
cottage_NN	cabin_NN	7.72
bird_NN	hen_NN	7.03
racket_NN	noise_NN	8.1
sunset_NN	evening_NN	5.98
drizzle_NN	rain_NN	9.17
adult_NN	baby_NN	2.22
charcoal_NN	coal_NN	7.63
body_NN	spine_NN	4.78
head_NN	nail_NN	2.47
log_NN	timber_NN	8.05
spoon_NN	cup_NN	2.02
body_NN	nerve_NN	3.13
man_NN	husband_NN	5.32
bone_NN	neck_NN	2.53
frustration_NN	anger_NN	6.5
river_NN	sea_NN	5.72
task_NN	job_NN	8.87
club_NN	society_NN	5.23
reflection_NN	image_NN	7.27
prince_NN	king_NN	5.92
snow_NN	weather_NN	5.48
people_NN	party_NN	2.2
boy_NN	brother_NN	6.67
root_NN	grass_NN	3.55
brow_NN	eye_NN	3.82
money_NN	pearl_NN	2.1
money_NN	diamond_NN	3.42
vehicle_NN	bus_NN	6.47
cab_NN	bus_NN	5.6
house_NN	barn_NN	4.33
finger_NN	palm_NN	3.33
car_NN	bridge_NN	0.95
effort_NN	difficulty_NN	4.45
fact_NN	insight_NN	4.77
job_NN	management_NN	3.97
cancer_NN	sickness_NN	7.93
word_NN	newspaper_NN	2.47
composer_NN	writer_NN	6.58
actor_NN	singer_NN	4.52
shelter_NN	hut_NN	6.47
bathroom_NN	kitchen_NN	3.1
cabin_NN	hut_NN	6.53
door_NN	kitchen_NN	1.67
value_NN	belief_NN	7.07
wisdom_NN	intelligence_NN	7.47
ignorance_NN	intelligence_NN	1.5
happiness_NN	luck_NN	2.38
idea_NN	scheme_NN	6.75
mood_NN	emotion_NN	8.12
happiness_NN	peace_NN	6.03
despair_NN	misery_NN	7.22
logic_NN	arithmetic_NN	3.97
denial_NN	confession_NN	1.03
argument_NN	criticism_NN	5.08
aggression_NN	hostility_NN	8.48
hysteria_NN	confusion_NN	6.33
chemistry_NN	theory_NN	3.17
trial_NN	verdict_NN	3.33
comfort_NN	safety_NN	5.8
confidence_NN	self_NN	3.12
vision_NN	perception_NN	6.88
era_NN	decade_NN	5.4
biography_NN	fiction_NN	1.38
discussion_NN	argument_NN	5.48
code_NN	symbol_NN	6.03
danger_NN	disease_NN	3.0
accident_NN	catastrophe_NN	5.9
journey_NN	trip_NN	8.88
activity_NN	movement_NN	7.15
gossip_NN	news_NN	5.22
father_NN	god_NN	3.57
action_NN	course_NN	5.45
fever_NN	illness_NN	7.65
aviation_NN	flight_NN	8.18
game_NN	action_NN	4.85
molecule_NN	air_NN	3.05
home_NN	state_NN	2.58
word_NN	literature_NN	4.77
adult_NN	guardian_NN	6.9
newspaper_NN	information_NN	5.65
communication_NN	television_NN	5.6
cousin_NN	uncle_NN	4.63
author_NN	reader_NN	1.6
guy_NN	partner_NN	3.57
area_NN	corner_NN	2.07
ballad_NN	song_NN	7.53
wall_NN	decoration_NN	2.62
word_NN	page_NN	2.92
nurse_NN	scientist_NN	2.08
politician_NN	president_NN	7.38
president_NN	mayor_NN	5.68
book_NN	essay_NN	4.72
man_NN	warrior_NN	4.72
article_NN	journal_NN	6.18
breakfast_NN	supper_NN	4.4
crowd_NN	parade_NN	3.93
aisle_NN	hallway_NN	6.75
teacher_NN	rabbi_NN	4.37
hip_NN	lip_NN	1.43
book_NN	article_NN	5.43
room_NN	cell_NN	4.58
box_NN	booth_NN	3.8
daughter_NN	kid_NN	4.17
limb_NN	leg_NN	6.9
liver_NN	lung_NN	2.7
classroom_NN	hallway_NN	2.0
mountain_NN	ledge_NN	3.73
car_NN	elevator_NN	1.03
bed_NN	couch_NN	3.42
clothes_NN	button_NN	2.3
clothes_NN	coat_NN	5.35
kidney_NN	organ_NN	6.17
apple_NN	sauce_NN	1.43
chicken_NN	steak_NN	3.73
car_NN	hose_NN	0.87
tobacco_NN	cigarette_NN	7.5
student_NN	professor_NN	1.95
baby_NN	daughter_NN	5.0
pipe_NN	cigar_NN	6.03
milk_NN	juice_NN	4.05
box_NN	cigar_NN	1.25
apartment_NN	hotel_NN	3.33
cup_NN	cone_NN	3.17
horse_NN	ox_NN	3.02
throat_NN	nose_NN	2.8
bone_NN	teeth_NN	4.17
bone_NN	elbow_NN	3.78
bacon_NN	bean_NN	1.22
cup_NN	jar_NN	5.13
proof_NN	fact_NN	7.3
appointment_NN	engagement_NN	6.75
birthday_NN	year_NN	1.67
word_NN	clue_NN	2.53
author_NN	creator_NN	8.02
atom_NN	carbon_NN	3.1
archbishop_NN	bishop_NN	7.05
letter_NN	paragraph_NN	4.0
page_NN	paragraph_NN	3.03
steeple_NN	chapel_NN	7.08
muscle_NN	bone_NN	3.65
muscle_NN	tongue_NN	5.0
boy_NN	soldier_NN	2.15
belly_NN	abdomen_NN	8.13
guy_NN	girl_NN	3.33
bed_NN	chair_NN	3.5
clothes_NN	jacket_NN	5.15
gun_NN	knife_NN	3.65
tin_NN	metal_NN	5.63
bottle_NN	container_NN	7.93
hen_NN	turkey_NN	6.13
meat_NN	bread_NN	1.67
arm_NN	bone_NN	3.83
neck_NN	spine_NN	5.32
apple_NN	lemon_NN	4.05
agony_NN	grief_NN	7.63
assignment_NN	task_NN	8.7
night_NN	dawn_NN	2.95
dinner_NN	soup_NN	3.72
calf_NN	bull_NN	4.93
snow_NN	storm_NN	4.8
nail_NN	hand_NN	3.42
dog_NN	horse_NN	2.38
arm_NN	neck_NN	1.58
ball_NN	glove_NN	1.75
flu_NN	fever_NN	6.08
fee_NN	salary_NN	3.72
nerve_NN	brain_NN	3.88
beast_NN	animal_NN	7.83
dinner_NN	chicken_NN	2.85
girl_NN	maid_NN	2.93
child_NN	boy_NN	5.75
alcohol_NN	wine_NN	7.42
nose_NN	mouth_NN	3.73
street_NN	car_NN	2.38
bell_NN	door_NN	2.2
box_NN	hat_NN	1.3
belief_NN	impression_NN	5.95
bias_NN	opinion_NN	5.6
attention_NN	awareness_NN	8.73
anger_NN	mood_NN	4.1
elegance_NN	style_NN	5.72
beauty_NN	age_NN	1.58
book_NN	theme_NN	2.58
friend_NN	mother_NN	2.53
vitamin_NN	iron_NN	5.55
car_NN	factory_NN	2.75
pact_NN	condition_NN	2.45
chapter_NN	choice_NN	0.48
arithmetic_NN	rhythm_NN	2.35
winner_NN	presence_NN	1.08
belief_NN	flower_NN	0.4
winner_NN	goal_NN	3.23
trick_NN	size_NN	0.48
choice_NN	vein_NN	0.98
hymn_NN	conquest_NN	0.68
endurance_NN	band_NN	0.4
jail_NN	choice_NN	1.08
condition_NN	boy_NN	0.48
flower_NN	endurance_NN	0.4
hole_NN	agreement_NN	0.3
doctor_NN	temper_NN	0.48
fraternity_NN	door_NN	0.68
task_NN	woman_NN	0.68
fraternity_NN	baseball_NN	0.88
cent_NN	size_NN	0.4
presence_NN	door_NN	0.48
mouse_NN	management_NN	0.48
task_NN	highway_NN	0.48
liquor_NN	century_NN	0.4
task_NN	straw_NN	0.68
island_NN	task_NN	0.3
night_NN	chapter_NN	0.48
pollution_NN	president_NN	0.68
gun_NN	trick_NN	0.48
bath_NN	trick_NN	0.58
diet_NN	apple_NN	1.18
cent_NN	wife_NN	0.58
chapter_NN	tail_NN	0.3
course_NN	stomach_NN	0.58
hymn_NN	straw_NN	0.4
dentist_NN	colonel_NN	0.4
wife_NN	straw_NN	0.4
hole_NN	wife_NN	0.68
pupil_NN	president_NN	0.78
bath_NN	wife_NN	0.48
people_NN	cent_NN	0.48
formula_NN	log_NN	1.77
woman_NN	fur_NN	0.58
apple_NN	sunshine_NN	0.58
gun_NN	dawn_NN	1.18
meal_NN	waist_NN	0.98
camera_NN	president_NN	0.48
liquor_NN	band_NN	0.68
stomach_NN	vein_NN	2.35
gun_NN	fur_NN	0.3
couch_NN	baseball_NN	0.88
worker_NN	camera_NN	0.68
deck_NN	mouse_NN	0.48
rice_NN	boy_NN	0.4
people_NN	gun_NN	0.68
cliff_NN	tail_NN	0.3
ankle_NN	window_NN	0.3
princess_NN	island_NN	0.3
container_NN	mouse_NN	0.3
wagon_NN	container_NN	2.65
people_NN	balloon_NN	0.48
dollar_NN	people_NN	0.4
bath_NN	balloon_NN	0.4
stomach_NN	bedroom_NN	0.4
bicycle_NN	bedroom_NN	0.4
log_NN	bath_NN	0.4
bowl_NN	tail_NN	0.48
