#word1	word2	SimLex999
please_VB	entertain_VB	5.0
remain_VB	retain_VB	5.75
pretend_VB	portray_VB	7.03
forget_VB	retain_VB	0.63
want_VB	choose_VB	4.78
lose_VB	get_VB	0.77
try_VB	think_VB	2.62
become_VB	appear_VB	4.77
leave_VB	ignore_VB	4.42
accept_VB	recommend_VB	2.75
leave_VB	wander_VB	3.57
keep_VB	give_VB	1.05
give_VB	allow_VB	5.15
bring_VB	send_VB	2.97
absorb_VB	learn_VB	5.48
acquire_VB	find_VB	6.38
leave_VB	appear_VB	0.97
create_VB	destroy_VB	0.63
begin_VB	go_VB	7.42
get_VB	buy_VB	5.08
collect_VB	save_VB	6.67
replace_VB	restore_VB	5.73
join_VB	add_VB	8.1
join_VB	marry_VB	5.35
accept_VB	deliver_VB	1.58
attach_VB	join_VB	7.75
put_VB	hang_VB	3.0
go_VB	sell_VB	0.97
communicate_VB	pray_VB	3.55
give_VB	steal_VB	0.5
add_VB	build_VB	4.92
bring_VB	restore_VB	2.62
comprehend_VB	satisfy_VB	2.55
portray_VB	decide_VB	1.18
organize_VB	become_VB	1.77
give_VB	know_VB	0.88
say_VB	verify_VB	4.9
cooperate_VB	join_VB	5.18
arrange_VB	require_VB	0.98
borrow_VB	want_VB	1.77
investigate_VB	pursue_VB	7.15
ignore_VB	explore_VB	0.4
bring_VB	complain_VB	0.98
enter_VB	owe_VB	0.68
portray_VB	notify_VB	0.78
remind_VB	sell_VB	0.4
absorb_VB	possess_VB	5.0
join_VB	acquire_VB	2.85
send_VB	attend_VB	1.67
gather_VB	attend_VB	4.8
absorb_VB	withdraw_VB	2.97
attend_VB	arrive_VB	6.08
